sector,investment_count,investment_types,avg_return_pct,avg_price,volatility,top_performers,momentum_score
Entertainment,1,Stocks,3.55,57.47,0.0,"[{'symbol': 'NETWORK18', 'name': 'Network18 Media & Investments Limited', 'change_percent': 3.55}]",2.33
Household & Personal Products,7,Stocks,1.11,1182.2,0.99,"[{'symbol': 'EMAMILTD', 'name': 'Emami Limited', 'change_percent': 3.1}, {'symbol': 'HINDUNILVR', 'name': 'Hindustan Unilever Limited', 'change_percent': 1.29}, {'symbol': 'MARICO', 'name': 'Marico Limited', 'change_percent': 1.2}]",1.868
Auto Manufacturers,7,Stocks,0.11,5264.64,1.9,"[{'symbol': 'EICHERMOT', 'name': 'Eicher Motors Limited', 'change_percent': 2.4}, {'symbol': 'TVSMOTOR', 'name': 'TVS Motor Company Limited', 'change_percent': 2.01}, {'symbol': 'HEROMOTOCO', 'name': 'Hero MotoCorp Limited', 'change_percent': 1.19}]",1.086
Tobacco,1,Stocks,1.09,416.45,0.0,"[{'symbol': 'ITC', 'name': 'ITC Limited', 'change_percent': 1.09}]",0.8540000000000001
Building Materials,5,Stocks,0.1,9582.55,1.49,"[{'symbol': 'AMBUJACEM', 'name': 'Ambuja Cements Limited', 'change_percent': 2.57}, {'symbol': 'ACC', 'name': 'ACC Limited', 'change_percent': 0.35}, {'symbol': 'SHREECEM', 'name': 'Shree Cement Limited', 'change_percent': -0.44}]",0.762
Packaged Foods,3,Stocks,0.5,3048.3,0.77,"[{'symbol': 'NESTLEIND', 'name': 'Nestlé India Limited', 'change_percent': 1.28}, {'symbol': 'BRITANNIA', 'name': 'Britannia Industries Limited', 'change_percent': 0.47}, {'symbol': 'TATACONSUM', 'name': 'Tata Consumer Products Limited', 'change_percent': -0.26}]",0.746
Banks - Regional,6,Stocks,-0.51,1352.72,0.84,"[{'symbol': 'KOTAKBANK', 'name': 'Kotak Mahindra Bank Limited', 'change_percent': 0.7}, {'symbol': 'HDFCBANK', 'name': 'HDFC Bank Limited', 'change_percent': -0.3}, {'symbol': 'SBIN', 'name': 'State Bank of India', 'change_percent': -0.32}]",0.7260000000000002
Information Technology Services,9,Stocks,-1.67,2378.45,0.66,"[{'symbol': 'LTTS', 'name': 'L&T Technology Services Limited', 'change_percent': -0.78}, {'symbol': 'HCLTECH', 'name': 'HCL Technologies Limited', 'change_percent': -1.08}, {'symbol': 'TCS', 'name': 'Tata Consultancy Services Limited', 'change_percent': -1.11}]",0.6660000000000001
Medical Care Facilities,1,Stocks,0.64,7498.0,0.0,"[{'symbol': 'APOLLOHOSP', 'name': 'Apollo Hospitals Enterprise Limited', 'change_percent': 0.64}]",0.5840000000000001
Specialty Chemicals,2,Stocks,0.66,2650.4,1.14,"[{'symbol': 'ASIANPAINT', 'name': 'Asian Paints Limited', 'change_percent': 1.46}, {'symbol': 'PIDILITIND', 'name': 'Pidilite Industries Limited', 'change_percent': -0.15}]",0.5680000000000001
